Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CGA3E1X7R1C105M080AC","C_0603",-7.250000,2.700000,-20.000000,bottom
"C2","CGA3E1X7R1C105M080AC","C_0603",-12.150000,4.200000,-110.000000,bottom
"C4","CGA3E2X7R1H104K080AE","C_0603",-14.290000,-6.030000,180.000000,bottom
"C5","CGA3E1X7R1C105M080AC","C_0603",12.600000,-7.550000,25.000000,bottom
"C6","~","C_0402",8.950000,-2.950000,0.000000,bottom
"C7","CGA3E2X7R1H104K080AE","C_0603",10.850000,-0.450000,135.000000,bottom
"D17","ESD7002WTT1G","SOT-23-3_L2.9-W1.5-P1.90-LS2.6-BR",-3.450744,-15.405811,25.000000,bottom
"D18","QBLP631-R","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallSilk",2.875000,-1.125000,43.000000,bottom
"J1","BHR-06-VUA","SHDR6W64P254_2X3_1522X880X920P",0.610000,-7.150000,0.000000,bottom
"P1","POGO","6_Pin_POGO",12.477390,-9.306640,24.500000,bottom
"R1","CRCW060310K0FKEC","R_0603",-6.450000,-10.000000,-90.000000,bottom
"R2","CRCW060310K0FKEC","R_0603",-10.700000,-10.900000,0.000000,bottom
"R3","CRCW060333R0FKEA","R_0603",-9.250000,0.500000,70.000000,bottom
"R4","CRCW060333R0FKEA","R_0603",-10.418490,0.954770,70.000000,bottom
"R5","CRCW06033K65FKEA","R_0603",-11.050000,2.750000,-110.000000,bottom
"R6","CRCW060310K0FKEC","R_0603",-13.200000,1.450000,70.000000,bottom
"R7","CRCW060310K0FKEC","R_0603",-12.600000,-10.100000,90.000000,bottom
"R8","ERJ-3GEY0R00V","R_0603",-6.450000,-7.150000,90.000000,bottom
"R9","ERJ-3EKF1001V","R_0603",0.150000,-1.550000,-47.000000,bottom
"R10","CRCW060310K0FKEC","R_0603",12.900000,-4.850000,25.000000,bottom
"R11","ERJ-3GEY0R00V","R_0603",12.850000,-2.450000,-45.000000,bottom
"R12","ERJ-3GEY0R00V","R_0603",-10.200000,-4.000000,0.000000,bottom
"TP5","5019","TestPoint_Keystone_5019_Miniature",-12.650000,11.250000,160.000000,bottom
"U1","LP5018RSMR","FP-RSM0032B-MFG",-7.944710,6.063690,-20.000000,bottom
"U2","~","SOT-363_SC-70-6",-11.450000,-6.850000,90.000000,bottom
"U3","PY32F002BF15U","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",7.274700,-0.274700,135.000000,bottom
"U4","~","SOT-363_SC-70-6",-8.450000,-6.850000,90.000000,bottom
